No,Iws
806,19.22
807,28.16
808,37.1
809,46.93
810,54.08
811,59
812,63.02
813,0.89
814,1.79
815,4.92
816,0.45
817,1.79
818,4.92
819,0.89
820,1.34
821,1.79
822,0.89
823,0.89
824,4.02
825,8.04
826,12.06
827,15.19
828,4.02
829,3.13
830,7.15
831,1.79
832,4.92
833,6.71
834,8.5
835,11.63
836,14.76
837,15.65
838,1.79
839,0.89
840,1.79
841,4.92
842,8.05
843,0.89
844,1.79
845,1.79
846,0.89
847,0.89
848,1.78
849,3.13
850,4.92
851,1.79
852,1.79
853,3.58
854,6.71
855,1.79
856,1.79
857,3.58
858,5.37
859,6.26
860,8.05
861,8.94
862,9.83
863,11.62
864,13.41
865,15.2
866,16.99
867,18.78
868,20.57
869,23.7
870,25.49
871,27.28
872,29.07
873,0.89
874,1.79
875,4.92
876,8.05
877,11.18
878,15.2
879,19.22
880,22.35
881,25.48
882,29.5
883,33.52
884,35.31
885,37.1
886,38.89
887,42.02
888,45.15
889,46.94
890,48.73
891,0.89
892,1.78
893,0.89
894,0.89
895,0.89
896,1.78
897,1.79
898,1.79
899,3.58
900,0.89
901,1.78
902,2.67
903,3.56
904,1.79
905,3.58
906,5.37
907,0.89
908,0.89
909,1.78
910,2.67
911,0.89
912,1.79
913,0.89
914,1.34
915,0.89
916,0.89
917,0.89
918,1.79
919,1.79
920,4.92
921,8.05
922,12.07
923,15.2
924,0.89
925,2.68
926,1.79
927,0.89
928,1.79
929,4.92
930,6.71
931,0.89
932,0.89
933,0.89
934,1.78
935,2.23
936,3.12
937,1.79
938,0.89
939,0.89
940,0.89
941,2.68
942,5.81
943,0.89
944,1.34
945,2.23
946,4.02
947,8.04
948,3.13
949,4.92
950,0.89
951,1.78
952,1.79
953,0.89
954,1.79
955,3.58
956,6.71
957,0.89
958,3.13
959,8.05
960,12.07
961,16.09
962,21.01
963,25.03
964,29.95
965,34.87
966,39.79
967,45.6
968,51.41
969,58.56
970,65.71
971,71.52
972,77.33
973,83.14
974,5.81
975,5.81
976,11.62
977,17.43
978,24.58
979,31.73
980,38.88
981,44.69
982,50.5
983,56.31
984,61.23
985,67.04
986,72.85
987,77.77
988,82.69
989,89.84
990,95.65
991,5.81
992,9.83
993,14.75
994,19.67
995,25.48
996,5.81
997,11.62
998,4.92
999,4.02
1000,7.15
1001,4.02
1002,4.92
1003,8.05
1004,11.18
1005,3.13
1006,8.05
1007,11.18
1008,4.02
1009,9.83
1010,14.75
1011,18.77
1012,22.79
1013,3.13
1014,7.15
1015,11.17
1016,14.3
1017,17.43
1018,4.02
1019,7.15
1020,3.13
1021,3.13
1022,3.13
1023,6.26
1024,1.79
1025,1.79
1026,3.58
1027,5.37
1028,0.89
1029,0.89
1030,1.34
1031,1.79
1032,0.89
1033,3.13
1034,6.26
1035,8.05
1036,11.18
1037,14.31
1038,16.1
1039,19.23
1040,21.02
1041,24.15
1042,0.89
1043,1.78
1044,1.79
1045,0.89
1046,1.79
1047,1.79
1048,3.13
1049,7.15
1050,11.17
1051,15.19
1052,18.32
1053,22.34
1054,0.89
1055,1.78
1056,2.67
1057,0.89
1058,0.89
1059,3.13
1060,6.26
1061,10.28
1062,15.2
1063,4.02
1064,4.02
1065,8.94
1066,14.75
1067,20.56
1068,5.81
1069,4.92
1070,4.92
1071,9.84
1072,13.86
1073,17.88
1074,21.9
1075,23.69
1076,0.89
1077,1.79
1078,4.92
1079,8.05
1080,11.18
1081,4.02
1082,8.04
1083,12.96
1084,0.89
1085,1.78
1086,3.13
1087,7.15
1088,4.02
1089,7.15
1090,10.28
1091,12.07
1092,15.2
1093,16.99
1094,18.78
1095,4.02
1096,1.79
1097,2.68
1098,3.57
1099,1.79
1100,2.68
1101,0.89
1102,0.89
1103,0.89
1104,1.79
1105,4.92
1106,8.05
1107,11.18
1108,12.07
1109,0.45
1110,0.89
1111,4.02
1112,8.04
1113,9.83
1114,12.96
1115,0.89
1116,1.78
1117,1.79
1118,0.89
1119,4.02
1120,8.04
1121,12.06
1122,15.19
1123,18.32
1124,20.11
1125,21
1126,0.89
1127,1.78
1128,0.89
1129,0.89
1130,1.78
1131,3.13
1132,7.15
1133,11.17
1134,19.22
1135,28.16
1136,35.31
1137,42.46
1138,54.53
1139,63.47
1140,74.65
1141,86.72
1142,97.9
1143,107.73
1144,118.91
1145,130.09
1146,139.03
1147,1.79
1148,0.89
1149,2.68
1150,4.47
1151,6.26
1152,9.39
1153,0.45
1154,0.89
1155,0.89
1156,0.89
1157,0.89
1158,0.89
1159,1.79
1160,0.89
1161,1.78
1162,3.13
1163,0.89
1164,1.78
1165,2.67
1166,5.81
1167,11.62
1168,13.41
1169,5.81
1170,9.83
1171,4.02
1172,4.92
1173,8.94
1174,12.96
1175,14.75
1176,0.89
1177,1.78
1178,2.67
1179,3.56
1180,4.45
1181,4.9
1182,5.79
1183,1.79
1184,3.58
1185,0.89
1186,2.68
1187,4.47
1188,0.89
1189,1.78
1190,4.02
1191,5.81
1192,8.94
1193,3.13
1194,3.13
1195,6.26
1196,10.28
1197,0.89
1198,1.78
1199,2.67
1200,3.56
1201,4.45
1202,5.34
1203,0.89
1204,1.78
1205,3.57
1206,5.36
1207,0.89
1208,1.79
1209,0.89
1210,1.79
1211,1.79
1212,3.58
1213,5.37
1214,8.5
1215,11.63
1216,14.76
1217,0.89
1218,1.78
1219,3.13
1220,4.92
1221,1.79
1222,0.89
1223,0.45
1224,1.34
1225,2.23
1226,2.68
1227,3.57
1228,0.89
1229,2.68
1230,4.47
1231,7.6
1232,9.39
1233,12.52
1234,17.44
1235,22.36
1236,25.49
1237,31.3
1238,36.22
1239,42.03
1240,47.84
1241,51.86
1242,3.13
1243,0.89
1244,1.78
1245,2.67
1246,1.79
1247,7.6
1248,11.62
1249,0.89
1250,1.34
1251,1.79
1252,4.92
1253,6.71
1254,8.5
1255,10.29
1256,12.08
1257,15.21
1258,19.23
1259,23.25
1260,26.38
1261,31.3
1262,34.43
1263,38.45
1264,42.47
1265,45.6
1266,48.73
1267,49.62
1268,51.41
1269,0.89
1270,3.13
1271,4.92
1272,0.89
1273,0.89
1274,0.89
1275,0.89
1276,1.78
1277,2.23
1278,0.89
1279,1.79
1280,3.58
1281,0.89
1282,1.78
1283,1.79
1284,0.89
1285,1.78
1286,1.79
1287,0.89
1288,1.78
1289,1.79
1290,3.58
1291,4.47
1292,0.89
1293,1.79
1294,0.89
1295,0.45
1296,1.34
1297,1.79
1298,3.58
1299,0.89
1300,1.78
1301,1.79
1302,3.58
1303,6.71
1304,9.84
1305,12.97
1306,16.99
1307,21.01
1308,25.03
1309,29.05
1310,33.97
1311,37.1
1312,0.89
1313,1.78
1314,1.79
1315,4.92
1316,0.89
1317,1.79
1318,3.58
1319,6.71
1320,0.89
1321,1.78
1322,2.67
1323,3.12
1324,4.01
1325,0.89
1326,0.89
1327,2.68
1328,4.47
1329,1.79
1330,2.68
1331,6.7
1332,11.62
1333,16.54
1334,21.46
1335,26.38
1336,30.4
1337,35.32
1338,39.34
1339,42.47
1340,45.6
1341,47.39
1342,54.54
1343,59.46
1344,63.48
1345,66.61
1346,69.74
1347,71.53
1348,73.32
1349,75.11
1350,76.9
1351,78.69
1352,79.58
1353,81.37
1354,0.89
1355,1.79
1356,0.89
1357,1.78
1358,3.57
1359,4.02
1360,8.04
1361,12.06
1362,15.19
1363,16.08
1364,16.97
1365,17.86
1366,21.88
1367,25.9
1368,29.92
1369,33.05
1370,37.07
1371,40.2
1372,44.22
1373,47.35
1374,51.37
1375,53.16
1376,54.95
1377,0.89
1378,1.79
1379,0.89
1380,1.78
1381,2.67
1382,1.79
1383,3.58
1384,6.71
1385,9.84
1386,12.97
1387,14.76
1388,16.55
1389,0.89
1390,1.79
1391,0.45
1392,0.89
1393,0.89
1394,0.45
1395,1.34
1396,0.89
1397,0.89
1398,1.79
1399,5.81
1400,9.83
1401,13.85
1402,5.81
1403,12.96
1404,21.01
1405,26.82
1406,33.97
1407,42.02
1408,7.15
1409,16.09
1410,21.9
1411,26.82
1412,29.95
1413,33.08
1414,34.87
1415,0.89
1416,3.13
1417,7.15
1418,12.07
1419,15.2
1420,18.33
1421,20.12
1422,23.25
1423,25.04
1424,28.17
1425,29.96
1426,33.09
1427,36.22
1428,38.01
1429,39.8
1430,42.93
1431,46.06
1432,50.08
1433,53.21
1434,58.13
1435,63.05
1436,67.07
1437,70.2
1438,73.33
1439,77.35
1440,80.48
1441,82.27
1442,0.89
1443,0.89
1444,0.89
1445,1.78
1446,1.79
1447,0.89
1448,1.78
1449,1.79
1450,4.92
1451,12.07
1452,20.12
1453,28.17
1454,36.22
1455,44.27
1456,52.32
1457,60.37
1458,65.29
1459,69.31
1460,72.44
1461,0.89
1462,1.79
1463,3.13
1464,0.89
1465,1.79
1466,0.89
1467,0.89
1468,4.02
1469,8.94
1470,12.96
1471,16.98
1472,0.89
1473,0.89
1474,0.89
1475,3.13
1476,6.26
1477,9.39
1478,12.52
1479,15.65
1480,18.78
1481,20.57
1482,24.59
1483,0.89
1484,1.79
1485,3.58
1486,0.89
1487,1.78
1488,1.79
1489,4.92
1490,6.71
1491,9.84
1492,12.97
1493,0.89
1494,1.79
1495,1.79
1496,3.58
1497,4.47
1498,7.6
1499,9.39
1500,12.52
1501,14.31
1502,17.44
1503,19.23
1504,22.36
1505,3.13
1506,8.05
1507,0.89
1508,1.78
1509,1.79
1510,4.92
1511,8.05
1512,12.07
1513,16.99
1514,22.8
1515,26.82
1516,35.76
1517,45.59
1518,53.64
1519,62.58
1520,71.52
1521,81.35
1522,95.21
1523,105.04
1524,110.85
1525,116.66
1526,123.81
1527,130.96
1528,4.92
1529,1.79
1530,3.13
1531,6.26
1532,9.39
1533,12.52
1534,17.44
1535,23.25
1536,29.06
1537,34.87
1538,40.68
1539,44.7
1540,49.62
1541,55.43
1542,61.24
1543,66.16
1544,71.97
1545,76.89
1546,80.91
1547,82.7
1548,1.79
1549,1.79
1550,3.13
1551,4.92
1552,4.02
1553,1.79
1554,3.13
1555,6.26
1556,9.39
1557,11.18
1558,12.07
1559,13.86
1560,18.78
1561,21.91
1562,25.04
1563,28.17
1564,31.3
1565,34.43
1566,37.56
1567,39.35
1568,0.45
1569,0.9
1570,1.79
1571,4.92
1572,8.05
1573,11.18
1574,1.79
1575,3.58
1576,3.13
1577,6.26
1578,8.05
1579,0.89
1580,1.79
1581,0.89
1582,1.78
1583,2.67
1584,3.56
1585,1.79
1586,3.58
1587,5.37
1588,7.16
1589,10.29
1590,12.08
1591,13.87
1592,15.66
1593,18.79
1594,22.81
1595,24.6
1596,26.39
1597,28.18
1598,0.45
1599,1.34
1600,2.23
1601,1.79
1602,4.92
1603,8.05
1604,12.97
1605,17.89
1606,25.04
1607,33.09
1608,40.24
1609,46.05
1610,53.2
1611,60.35
1612,67.5
1613,73.31
1614,80.46
1615,84.48
1616,88.5
1617,92.52
1618,98.33
1619,105.48
1620,112.63
1621,119.78
1622,127.83
1623,136.77
1624,145.71
1625,154.65
1626,164.48
1627,170.29
1628,175.21
1629,179.23
1630,0.89
1631,1.78
1632,1.79
1633,2.68
1634,1.79
1635,2.68
1636,3.57
1637,5.36
1638,7.15
1639,10.28
1640,0.89
1641,1.78
1642,2.67
1643,3.13
1644,6.26
1645,3.13
1646,3.13
1647,7.15
1648,10.28
1649,14.3
1650,17.43
1651,21.45
1652,24.58
1653,27.71
1654,29.5
1655,32.63
1656,35.76
1657,0.89
1658,0.89
1659,0.45
1660,1.79
1661,0.89
1662,1.79
1663,0.89
1664,1.78
1665,2.67
1666,0.89
1667,0.89
1668,3.13
1669,6.26
1670,9.39
1671,12.52
1672,16.54
1673,1.79
1674,2.68
1675,1.79
1676,4.02
1677,5.81
1678,7.6
1679,10.73
1680,11.62
1681,16.54
1682,31.74
1683,39.79
1684,47.84
1685,57.67
1686,64.82
1687,73.76
1688,82.7
1689,88.51
1690,3.13
1691,8.05
1692,12.97
1693,20.12
1694,25.93
1695,30.85
1696,3.13
1697,3.13
1698,3.13
1699,1.79
1700,2.68
1701,0.89
1702,0.89
1703,4.02
1704,8.04
1705,12.06
1706,16.08
1707,19.21
1708,0.89
1709,3.13
1710,6.26
1711,8.05
1712,0.89
1713,1.79
1714,5.81
1715,9.83
1716,12.96
1717,16.98
1718,21
1719,25.02
1720,29.04
1721,33.96
1722,37.98
1723,42
1724,47.81
1725,51.83
1726,56.75
1727,60.77
1728,0.89
1729,3.13
1730,4.92
1731,6.71
1732,0.89
1733,0.89
1734,0.45
1735,3.13
1736,6.26
1737,9.39
1738,11.18
1739,14.31
1740,16.1
1741,20.12
1742,23.25
1743,26.38
1744,28.17
1745,29.96
1746,0.45
1747,0.89
1748,1.79
1749,4.92
1750,8.94
1751,12.07
1752,13.86
1753,17.88
1754,21.01
1755,26.82
1756,1.79
1757,4.02
1758,11.17
1759,16.98
1760,22.79
1761,26.81
1762,33.96
1763,41.11
1764,50.05
1765,62.12
1766,73.3
1767,83.13
1768,94.31
1769,106.38
1770,116.21
1771,124.26
1772,129.18
1773,132.31
1774,134.1
1775,135.89
1776,0.89
1777,0.89
1778,0.89
1779,1.78
1780,2.67
1781,0.89
1782,0.89
1783,1.78
1784,0.89
1785,1.79
1786,3.58
1787,6.71
1788,8.5
1789,1.79
1790,3.58
1791,5.37
1792,1.79
1793,3.58
1794,6.71
1795,8.5
1796,11.63
1797,14.76
1798,1.79
1799,3.13
1800,3.13
1801,3.13
1802,1.79
1803,1.79
1804,6.71
1805,9.84
1806,13.86
1807,19.67
1808,26.82
1809,33.97
1810,39.78
1811,44.7
1812,49.62
1813,54.54
1814,58.56
1815,3.13
1816,3.13
1817,1.79
1818,2.68
1819,0.89
1820,0.89
1821,0.89
1822,0.45
1823,0.89
1824,4.92
1825,9.84
1826,13.86
1827,17.88
1828,19.67
1829,0.89
1830,1.78
1831,2.67
1832,3.56
1833,1.79
1834,3.58
1835,5.37
1836,0.89
1837,1.79
1838,3.58
1839,0.89
1840,3.13
1841,3.13
1842,4.02
1843,5.81
1844,7.6
1845,0.89
1846,0.89
1847,1.78
1848,0.89
1849,1.78
1850,2.67
1851,3.56
1852,1.79
1853,0.89
1854,0.89
1855,1.78
1856,3.57
1857,5.36
1858,8.49
1859,10.28
1860,0.89
1861,1.79
1862,0.89
1863,1.78
1864,1.79
1865,0.89
1866,1.78
1867,2.67
1868,1.79
1869,5.81
1870,8.94
1871,0.89
1872,1.79
1873,0.89
1874,1.79
1875,1.79
1876,1.79
1877,4.92
1878,1.79
1879,12.07
1880,23.25
1881,35.32
1882,46.5
1883,58.57
1884,69.75
1885,84.95
1886,98.81
1887,114.01
1888,129.21
1889,140.39
1890,149.33
1891,158.27
1892,163.19
1893,166.32
1894,171.24
1895,177.05
1896,181.97
1897,185.1
1898,0.89
1899,1.78
1900,1.79
1901,3.58
1902,5.37
1903,0.89
1904,1.78
1905,1.79
1906,4.92
1907,8.94
1908,12.96
1909,18.77
1910,3.13
1911,4.92
1912,10.73
1913,13.86
1914,17.88
1915,21.9
1916,25.92
1917,30.84
1918,34.86
1919,37.99
1920,3.13
1921,1.79
1922,3.13
1923,0.89
1924,0.89
1925,1.78
1926,0.89
1927,1.79
1928,2.68
1929,0.89
1930,3.13
1931,11.18
1932,18.33
1933,28.16
1934,37.99
1935,47.82
1936,57.65
1937,67.48
1938,77.31
1939,84.46
1940,92.51
1941,97.43
1942,103.24
1943,110.39
1944,4.02
1945,4.02
1946,1.79
1947,7.6
1948,4.02
1949,0.89
1950,0.89
1951,0.89
1952,0.89
1953,0.89
1954,3.13
1955,8.94
1956,14.75
1957,21.9
1958,29.05
1959,34.86
1960,40.67
1961,46.48
1962,52.29
1963,59.44
1964,64.36
1965,67.49
1966,71.51
1967,75.53
1968,79.55
1969,83.57
1970,86.7
1971,89.83
1972,3.13
1973,1.79
1974,1.79
1975,1.79
1976,4.92
1977,10.73
1978,16.54
1979,7.15
1980,14.3
1981,19.22
1982,24.14
1983,4.02
1984,8.04
1985,12.96
1986,18.77
1987,23.69
1988,27.71
1989,4.92
1990,3.13
1991,4.02
1992,7.15
1993,10.28
1994,14.3
1995,16.09
1996,17.88
1997,19.67
1998,1.79
1999,5.81
2000,12.96
2001,21.01
2002,28.16
2003,37.99
2004,46.93
2005,51.85
2006,1.79
2007,4.02
2008,9.83
2009,13.85
2010,3.13
2011,4.92
2012,0.89
2013,1.79
2014,0.89
2015,1.78
2016,2.67
2017,0.89
2018,0.89
2019,3.13
2020,0.45
2021,0.9
2022,0.89
2023,0.89
2024,0.89
2025,0.89
2026,1.78
2027,3.13
2028,7.15
2029,12.96
2030,17.88
2031,22.8
2032,26.82
2033,31.74
2034,36.66
2035,39.79
2036,0.89
2037,1.79
2038,3.13
2039,4.02
2040,7.15
2041,10.28
2042,4.02
2043,8.94
2044,10.73
2045,4.92
2046,8.94
2047,12.07
2048,13.86
2049,16.99
2050,21.01
2051,24.14
2052,28.16
2053,31.29
2054,35.31
2055,39.33
2056,3.13
2057,3.13
2058,6.26
2059,9.39
2060,12.52
2061,17.44
2062,20.57
2063,24.59
2064,28.61
2065,30.4
2066,32.19
2067,33.98
2068,0.89
2069,0.89
2070,0.89
2071,0.89
2072,0.45
2073,1.79
2074,1.79
2075,3.58
2076,5.37
2077,1.79
2078,4.92
2079,4.02
2080,8.94
2081,13.86
2082,18.78
2083,22.8
2084,25.93
2085,30.85
2086,32.64
2087,34.43
2088,35.32
2089,37.11
2090,38.9
2091,40.69
2092,42.48
2093,43.37
2094,0.89
2095,1.78
2096,0.89
2097,1.79
2098,4.92
2099,8.05
2100,11.18
2101,14.31
2102,0.89
2103,1.78
2104,4.02
2105,5.81
2106,0.89
2107,0.89
2108,1.79
2109,3.58
2110,4.47
2111,0.89
2112,0.89
2113,0.89
2114,2.68
2115,4.47
2116,6.26
2117,8.05
2118,9.84
2119,11.63
2120,13.42
2121,14.31
2122,17.44
2123,20.57
2124,24.59
2125,26.38
2126,28.17
2127,29.06
2128,1.79
2129,2.68
2130,0.89
2131,1.78
2132,0.89
2133,0.89
2134,1.78
2135,0.89
2136,3.13
2137,4.92
2138,0.45
2139,1.34
2140,2.23
2141,0.89
2142,0.45
2143,1.34
